order_id,pds,customer_id,order_date,delivery_date,quantity,order_note,order_status
3,25020074,2,2/11/2025,,100,,in_progress
4,25020135,2,2/11/2025,,100,,in_progress
5,25020075,2,2/13/2025,,100,,in_progress
6,25020142,2,2/13/2025,,100,,in_progress
7,25020169,2,2/13/2025,,100,,in_progress
8,25020117,2,2/13/2025,,100,,in_progress
9,25020118,2,2/14/2025,,100,,in_progress
10,25020274,2,2/15/2025,,100,,in_progress
11,25020183,2,2/18/2025,,100,,in_progress
12,25020273,2,2/19/2025,,100,,in_progress
13,25020409,2,2/20/2025,,100,,in_progress
14,25020269,2,2/20/2025,,100,,in_progress
15,25020276,2,2/21/2025,,100,,in_progress
16,25020109,2,2/21/2025,,100,,in_progress
17,25020185,2,2/22/2025,,100,,in_progress
18,25020271,2,2/24/2025,,100,,in_progress
19,25020387,2,2/25/2025,,100,,in_progress
20,25020405,2,2/26/2025,,100,,in_progress
21,25020633,2,3/1/2025,,100,,in_progress
22,25020546,2,3/3/2025,,100,,in_progress
23,25020711,2,3/4/2025,,100,,in_progress
24,25020493,2,3/4/2025,,100,,in_progress
25,25020630,2,3/6/2025,,100,,in_progress
26,25020800,2,3/6/2025,,100,,in_progress
27,25020631,2,3/7/2025,,100,,in_progress
28,25030026,2,3/7/2025,,100,,in_progress
29,25030028,2,3/8/2025,,100,,in_progress
30,25020825,2,3/8/2025,,100,,in_progress
31,25030152,2,3/8/2025,,100,,in_progress
32,25020556,2,3/10/2025,,100,,in_progress
33,25030029,2,3/10/2025,,100,,in_progress
34,25030176,2,3/11/2025,,100,,in_progress
35,25020831,2,3/11/2025,,100,,in_progress
36,25030139,2,3/12/2025,,100,,in_progress
37,25030092,2,3/12/2025,,100,,in_progress
38,25030094,2,3/13/2025,,100,,in_progress
39,25030233,2,3/13/2025,,100,,in_progress
40,25030210,2,3/13/2025,,100,,in_progress
41,25030219,2,3/14/2025,,100,,in_progress
42,25030337,2,3/15/2025,,100,,in_progress
43,25030220,2,3/17/2025,,100,,in_progress
44,25030385,2,3/17/2025,,100,,in_progress
45,25020548,2,3/18/2025,,100,,in_progress
46,25030272,2,3/18/2025,,100,,in_progress
47,25030274,2,3/18/2025,,100,,in_progress
